id,width,length
0,11.09613099,1.333051372
1,35.9719902,78.28889567
2,2.387711968,44.97213976
3,43.73878362,38.78216476
4,35.72105271,31.34312076
5,1.556319545,8.430015358
6,87.88658461,13.37009135
7,88.86042783,27.55280735
8,74.28511829,38.42965742
9,13.9888164,68.02740481
10,92.10371859,67.56664586
11,63.97706614,79.26419231
12,96.63238587,12.57177618
13,12.38226352,97.37596174
14,38.48819399,51.70789793
15,47.95760331,29.75653306
16,57.92677992,6.170463083
17,17.75224267,96.70836483
18,22.44537604,4.192496922
19,23.89055351,65.24282508
20,68.8704197,4.371775675
21,25.88565362,78.54344793
22,65.44850254,47.97626953
23,39.98408764,44.93413095
24,22.21370747,28.27485387
25,96.04726151,47.03501989
26,65.43313985,55.84881739
27,80.65481668,16.68099672
28,13.64135502,23.12012882
29,41.77154645,6.806417868
30,4.603837478,37.84211152
31,80.77204397,33.46671414
32,28.27974914,50.03028969
33,65.60140415,26.8032201
34,10.90946958,53.51031501
35,50.33418958,85.14324384
36,52.06261244,75.81758228
37,68.53747835,41.44744199
38,80.56611106,41.81796909
39,73.26701975,68.57768226
40,97.65169048,96.03278728
41,74.57171926,30.7892091
42,18.89859971,94.1498103
43,74.09283215,23.74752824
44,52.13689213,69.1370385
45,93.50961622,58.20810464
46,70.97932593,69.75223994
47,47.06144016,74.37042102
48,90.69296308,72.77441304
49,25.18932207,60.34830401
50,70.76451194,68.63334675
51,91.59240189,2.460461385
52,73.05230018,9.757525418
53,6.228559953,1.565075019
54,48.65847157,96.65455901
55,1.51006598,72.18915844
56,92.88171705,67.62198188
57,69.39592066,19.27739659
58,8.712249783,50.20293942
59,94.0769116,3.916304391
60,37.2394888,19.36242992
61,85.3667461,67.81919861
62,60.61825379,96.57309525
63,34.46321843,16.97072688
64,79.85013697,38.02946764
65,75.48382742,98.59549594
66,88.91039092,14.86379759
67,16.81048162,72.60404165
68,93.12814213,11.30302158
69,93.2128222,13.7910042
70,63.33580837,86.04139114
71,10.96210029,76.36886459
72,0.122025181,44.50328682
73,33.6179523,21.44674392
74,65.92953841,22.3945205
75,90.75839231,17.5400298
76,3.44636142,32.13859819
77,41.94032257,83.08833512
78,62.0293939,83.16212755
79,57.76404186,56.0795093
80,75.62898637,50.24017671
81,93.8425848,56.38961506
82,84.93980294,56.57423627
83,49.98504228,0.605731208
84,22.12943058,19.04141045
85,8.447720808,3.046179879
86,20.39161967,97.01124886
87,21.41511927,3.852793566
88,90.53235105,92.30905732
89,46.71506911,23.93995061
90,99.86784505,97.30639779
91,10.23745828,32.6586619
92,59.10928779,93.88733111
93,26.06432666,66.98774607
94,0.184945483,27.774082
95,80.39514353,78.04899024
96,29.66891568,21.01855096
97,57.96768859,68.56444588
98,44.82199306,96.70639291
99,24.43540893,25.91465983
100,31.68731204,21.0471016
101,2.793499337,64.06614022
102,93.9916581,28.37441422
103,89.22251727,99.63981541
104,59.30384381,93.31174149
105,26.79331479,21.80880149
106,79.78115789,48.88859437
107,98.40329858,84.71195343
108,6.922031832,13.15850159
109,85.47535294,35.47596938
110,25.32903195,8.190347375
111,92.71861041,47.82450963
